operation,candidate_use,published_rknn_support,evidence,status_for_f2,reason
Conv2D,feature/residual convolution,yes,"RKNN OP Support V1.7.5; official RV1126 examples",NPU_CANDIDATE,"Core primitive; must still pass rv1126 offline build"
DepthwiseConv2D,cheap spatial filtering,yes,"RKNN OP Support V1.7.5",NPU_CANDIDATE,"Purpose-built tiny network primitive; build test required"
ReLU,activation,yes,"RKNN OP Support V1.7.5; official RV1126 example",NPU_CANDIDATE,"Core primitive"
Add,residual skip,yes,"Keras/TFLite/TensorFlow support lists",NPU_CANDIDATE,"Use fixed same-shape residual addition"
Sub,residual/difference,yes,"Keras/TFLite/TensorFlow support lists",NPU_CANDIDATE,"Avoid if graph can fold into convolution"
Mul,mask/gating,yes,"Keras/TFLite/TensorFlow support lists",NPU_CANDIDATE,"Static/fixed-shape only until compiled"
Concat,context fusion,yes,"Caffe/Keras/TFLite/TensorFlow support lists",NPU_CANDIDATE,"Potential later multi-context graph"
Reshape,fixed tensor layout,yes,"all major published support lists",NPU_CANDIDATE,"Keep static shapes"
ResizeBilinear,coarse resize,yes,"TensorFlow/TFLite support lists",REPLACE_WITH_DETERMINISTIC_HARDWARE,"Do not spend NPU budget where RV1126 2D scale or RK3588 can do it"
ResizeNearest,coarse resize,yes,"TensorFlow/TFLite support lists",REPLACE_WITH_DETERMINISTIC_HARDWARE,"Same reason"
ConvTranspose,learned upsample,yes,"Keras/TFLite/TensorFlow support lists",REWRITE_PREFERRED,"Supported conversion surface but expensive/artifact-prone; prefer deterministic resize + conv"
GridSample,dense optical-flow warp,no published support found,"Absent from RKNN OP Support V1.7.5 lists",FATAL_IN_NPU_GRAPH,"Do warp/reprojection outside NPU; do not accept hidden CPU fallback"
DynamicGridWarp,dense flow warp,no published support found,"No published primitive in old RKNN support list",FATAL_IN_NPU_GRAPH,"Precompute on controller/2D/GPU path"
Attention,transformer attention,no published F2 requirement,"Not in selected old-RKNN primitive set",FATAL_IN_F2_GRAPH,"Unnecessary for first tiny decoder; avoid operator risk"
DynamicShape,dynamic graph control,not established,"F2 deliberately fixed shape",FATAL_IN_F2_GRAPH,"Avoid compiler/runtime variability"
DeterministicScale,360p/720p raster scaling,RV1126 product page advertises 2D scale up/down,"Rockchip RV1126 product page",DETERMINISTIC_HARDWARE_CANDIDATE,"Hardware capability exists; exact path/timing remains unmeasured"
H264_H265_Encode,final stream encode,RV1126 product page + MPP platform support,"Rockchip RV1126 product page; Rockchip MPP",DETERMINISTIC_HARDWARE_CANDIDATE,"Keep encoded output local where possible to avoid raw 1080p gather"
